request_id,connection_ms,handshake_ms,tool_call_ms,total_time_ms,status
1,0.000,0.000,0.000,120.673,error: unhandled errors in a TaskGroup (1 sub-exception)
2,0.000,0.000,0.000,121.715,error: unhandled errors in a TaskGroup (1 sub-exception)
3,0.000,0.000,0.000,120.179,error: unhandled errors in a TaskGroup (1 sub-exception)
4,0.000,0.000,0.000,120.660,error: unhandled errors in a TaskGroup (1 sub-exception)
5,0.000,0.000,0.000,120.164,error: unhandled errors in a TaskGroup (1 sub-exception)
6,0.000,0.000,0.000,121.719,error: unhandled errors in a TaskGroup (1 sub-exception)
7,0.000,0.000,0.000,120.448,error: unhandled errors in a TaskGroup (1 sub-exception)
8,0.000,0.000,0.000,120.085,error: unhandled errors in a TaskGroup (1 sub-exception)
9,0.000,0.000,0.000,120.233,error: unhandled errors in a TaskGroup (1 sub-exception)
10,0.000,0.000,0.000,121.789,error: unhandled errors in a TaskGroup (1 sub-exception)
11,0.000,0.000,0.000,120.507,error: unhandled errors in a TaskGroup (1 sub-exception)
12,0.000,0.000,0.000,120.211,error: unhandled errors in a TaskGroup (1 sub-exception)
13,0.000,0.000,0.000,120.462,error: unhandled errors in a TaskGroup (1 sub-exception)
14,0.000,0.000,0.000,120.933,error: unhandled errors in a TaskGroup (1 sub-exception)
15,0.000,0.000,0.000,120.655,error: unhandled errors in a TaskGroup (1 sub-exception)
16,0.000,0.000,0.000,120.486,error: unhandled errors in a TaskGroup (1 sub-exception)
17,0.000,0.000,0.000,120.173,error: unhandled errors in a TaskGroup (1 sub-exception)
18,0.000,0.000,0.000,125.732,error: unhandled errors in a TaskGroup (1 sub-exception)
19,0.000,0.000,0.000,120.580,error: unhandled errors in a TaskGroup (1 sub-exception)
20,0.000,0.000,0.000,120.191,error: unhandled errors in a TaskGroup (1 sub-exception)
21,0.000,0.000,0.000,120.101,error: unhandled errors in a TaskGroup (1 sub-exception)
22,0.000,0.000,0.000,120.225,error: unhandled errors in a TaskGroup (1 sub-exception)
23,0.000,0.000,0.000,120.183,error: unhandled errors in a TaskGroup (1 sub-exception)
24,0.000,0.000,0.000,120.167,error: unhandled errors in a TaskGroup (1 sub-exception)
25,0.000,0.000,0.000,120.865,error: unhandled errors in a TaskGroup (1 sub-exception)
26,0.000,0.000,0.000,122.292,error: unhandled errors in a TaskGroup (1 sub-exception)
27,0.000,0.000,0.000,120.322,error: unhandled errors in a TaskGroup (1 sub-exception)
28,0.000,0.000,0.000,120.670,error: unhandled errors in a TaskGroup (1 sub-exception)
29,0.000,0.000,0.000,120.480,error: unhandled errors in a TaskGroup (1 sub-exception)
30,0.000,0.000,0.000,126.528,error: unhandled errors in a TaskGroup (1 sub-exception)
31,0.000,0.000,0.000,120.411,error: unhandled errors in a TaskGroup (1 sub-exception)
32,0.000,0.000,0.000,120.050,error: unhandled errors in a TaskGroup (1 sub-exception)
33,0.000,0.000,0.000,120.085,error: unhandled errors in a TaskGroup (1 sub-exception)
34,0.000,0.000,0.000,122.299,error: unhandled errors in a TaskGroup (1 sub-exception)
35,0.000,0.000,0.000,120.487,error: unhandled errors in a TaskGroup (1 sub-exception)
36,0.000,0.000,0.000,120.421,error: unhandled errors in a TaskGroup (1 sub-exception)
37,0.000,0.000,0.000,120.212,error: unhandled errors in a TaskGroup (1 sub-exception)
38,0.000,0.000,0.000,126.031,error: unhandled errors in a TaskGroup (1 sub-exception)
39,0.000,0.000,0.000,121.745,error: unhandled errors in a TaskGroup (1 sub-exception)
40,0.000,0.000,0.000,120.966,error: unhandled errors in a TaskGroup (1 sub-exception)
41,0.000,0.000,0.000,120.509,error: unhandled errors in a TaskGroup (1 sub-exception)
42,0.000,0.000,0.000,122.234,error: unhandled errors in a TaskGroup (1 sub-exception)
43,0.000,0.000,0.000,120.915,error: unhandled errors in a TaskGroup (1 sub-exception)
44,0.000,0.000,0.000,120.505,error: unhandled errors in a TaskGroup (1 sub-exception)
45,0.000,0.000,0.000,120.318,error: unhandled errors in a TaskGroup (1 sub-exception)
46,0.000,0.000,0.000,122.418,error: unhandled errors in a TaskGroup (1 sub-exception)
47,0.000,0.000,0.000,120.472,error: unhandled errors in a TaskGroup (1 sub-exception)
48,0.000,0.000,0.000,120.456,error: unhandled errors in a TaskGroup (1 sub-exception)
49,0.000,0.000,0.000,120.075,error: unhandled errors in a TaskGroup (1 sub-exception)
50,0.000,0.000,0.000,121.864,error: unhandled errors in a TaskGroup (1 sub-exception)
51,0.000,0.000,0.000,120.311,error: unhandled errors in a TaskGroup (1 sub-exception)
52,0.000,0.000,0.000,120.284,error: unhandled errors in a TaskGroup (1 sub-exception)
53,0.000,0.000,0.000,120.537,error: unhandled errors in a TaskGroup (1 sub-exception)
54,0.000,0.000,0.000,122.373,error: unhandled errors in a TaskGroup (1 sub-exception)
55,0.000,0.000,0.000,120.482,error: unhandled errors in a TaskGroup (1 sub-exception)
56,0.000,0.000,0.000,120.197,error: unhandled errors in a TaskGroup (1 sub-exception)
57,0.000,0.000,0.000,120.506,error: unhandled errors in a TaskGroup (1 sub-exception)
58,0.000,0.000,0.000,121.882,error: unhandled errors in a TaskGroup (1 sub-exception)
59,0.000,0.000,0.000,120.957,error: unhandled errors in a TaskGroup (1 sub-exception)
60,0.000,0.000,0.000,120.534,error: unhandled errors in a TaskGroup (1 sub-exception)
61,0.000,0.000,0.000,120.335,error: unhandled errors in a TaskGroup (1 sub-exception)
62,0.000,0.000,0.000,122.127,error: unhandled errors in a TaskGroup (1 sub-exception)
63,0.000,0.000,0.000,120.516,error: unhandled errors in a TaskGroup (1 sub-exception)
64,0.000,0.000,0.000,120.725,error: unhandled errors in a TaskGroup (1 sub-exception)
65,0.000,0.000,0.000,120.513,error: unhandled errors in a TaskGroup (1 sub-exception)
66,0.000,0.000,0.000,124.745,error: unhandled errors in a TaskGroup (1 sub-exception)
67,0.000,0.000,0.000,121.545,error: unhandled errors in a TaskGroup (1 sub-exception)
68,0.000,0.000,0.000,120.557,error: unhandled errors in a TaskGroup (1 sub-exception)
69,0.000,0.000,0.000,120.193,error: unhandled errors in a TaskGroup (1 sub-exception)
70,0.000,0.000,0.000,120.559,error: unhandled errors in a TaskGroup (1 sub-exception)
71,0.000,0.000,0.000,120.421,error: unhandled errors in a TaskGroup (1 sub-exception)
72,0.000,0.000,0.000,120.472,error: unhandled errors in a TaskGroup (1 sub-exception)
73,0.000,0.000,0.000,120.469,error: unhandled errors in a TaskGroup (1 sub-exception)
74,0.000,0.000,0.000,122.708,error: unhandled errors in a TaskGroup (1 sub-exception)
75,0.000,0.000,0.000,120.348,error: unhandled errors in a TaskGroup (1 sub-exception)
76,0.000,0.000,0.000,120.615,error: unhandled errors in a TaskGroup (1 sub-exception)
77,0.000,0.000,0.000,119.955,error: unhandled errors in a TaskGroup (1 sub-exception)
78,0.000,0.000,0.000,127.719,error: unhandled errors in a TaskGroup (1 sub-exception)
79,0.000,0.000,0.000,124.032,error: unhandled errors in a TaskGroup (1 sub-exception)
80,0.000,0.000,0.000,145.895,error: unhandled errors in a TaskGroup (1 sub-exception)
81,0.000,0.000,0.000,120.666,error: unhandled errors in a TaskGroup (1 sub-exception)
82,0.000,0.000,0.000,122.796,error: unhandled errors in a TaskGroup (1 sub-exception)
83,0.000,0.000,0.000,120.414,error: unhandled errors in a TaskGroup (1 sub-exception)
84,0.000,0.000,0.000,120.697,error: unhandled errors in a TaskGroup (1 sub-exception)
85,0.000,0.000,0.000,120.637,error: unhandled errors in a TaskGroup (1 sub-exception)
86,0.000,0.000,0.000,123.166,error: unhandled errors in a TaskGroup (1 sub-exception)
87,0.000,0.000,0.000,120.827,error: unhandled errors in a TaskGroup (1 sub-exception)
88,0.000,0.000,0.000,120.417,error: unhandled errors in a TaskGroup (1 sub-exception)
89,0.000,0.000,0.000,120.323,error: unhandled errors in a TaskGroup (1 sub-exception)
90,0.000,0.000,0.000,122.446,error: unhandled errors in a TaskGroup (1 sub-exception)
91,0.000,0.000,0.000,120.674,error: unhandled errors in a TaskGroup (1 sub-exception)
92,0.000,0.000,0.000,120.829,error: unhandled errors in a TaskGroup (1 sub-exception)
93,0.000,0.000,0.000,119.950,error: unhandled errors in a TaskGroup (1 sub-exception)
94,0.000,0.000,0.000,122.663,error: unhandled errors in a TaskGroup (1 sub-exception)
95,0.000,0.000,0.000,120.358,error: unhandled errors in a TaskGroup (1 sub-exception)
96,0.000,0.000,0.000,120.313,error: unhandled errors in a TaskGroup (1 sub-exception)
