request_id,connection_ms,handshake_ms,tool_call_ms,total_time_ms,status
1,365.452,337.096,558.097,1261.130,success
2,370.524,359.874,555.950,1286.862,success
3,386.264,349.123,571.987,1307.870,success
4,376.479,363.295,565.316,1305.582,success
5,390.686,362.916,575.261,1329.356,success
6,384.381,365.314,576.105,1326.348,success
7,394.838,370.982,599.123,1365.458,success
8,411.161,371.288,589.110,1372.071,success
9,381.590,364.644,584.864,1331.596,success
10,402.272,383.135,516.260,1302.380,success
11,359.342,350.757,541.855,1252.409,success
12,375.295,357.984,572.182,1306.021,success
13,411.649,370.420,586.990,1369.532,success
14,391.356,362.922,579.716,1334.492,success
15,396.420,371.705,585.918,1354.501,success
16,397.393,378.388,596.743,1372.992,success
17,397.413,385.995,580.035,1363.902,success
18,410.271,330.846,546.675,1288.318,success
19,375.434,349.727,554.671,1280.296,success
20,375.955,353.402,568.234,1298.083,success
21,385.990,363.728,556.034,1306.236,success
22,366.545,349.678,561.581,1278.303,success
23,385.266,374.102,566.860,1326.693,success
24,394.417,373.428,594.251,1362.634,success
25,359.959,339.084,560.580,1260.101,success
26,374.876,357.319,566.312,1298.992,success
27,384.782,362.878,578.159,1326.311,success
28,400.635,353.404,557.839,1312.343,success
29,382.034,358.674,555.818,1296.979,success
30,380.415,356.175,570.845,1307.926,success
31,390.556,368.817,565.365,1325.265,success
32,386.501,359.903,572.696,1319.561,success
33,397.357,375.725,566.445,1340.096,success
34,370.367,345.859,539.679,1256.365,success
35,363.710,341.344,546.962,1252.520,success
36,363.442,345.466,543.568,1252.953,success
37,371.182,345.403,563.442,1280.508,success
38,372.584,345.331,546.336,1264.713,success
39,378.368,362.348,574.402,1315.649,success
40,390.204,363.126,581.872,1335.689,success
41,395.311,385.863,506.284,1287.953,success
42,353.680,341.291,557.097,1252.529,success
43,379.470,363.669,580.914,1324.543,success
44,407.442,357.999,567.488,1333.416,success
45,386.168,378.658,594.635,1359.958,success
46,393.007,368.288,578.823,1340.569,success
47,405.005,354.078,533.341,1292.933,success
48,380.666,358.020,567.287,1306.432,success
49,396.937,373.614,604.629,1375.657,success
50,404.336,379.662,604.647,1389.109,success
51,393.374,368.057,578.227,1340.140,success
52,390.672,378.716,586.182,1356.064,success
53,383.540,364.073,578.517,1326.596,success
54,387.539,363.598,567.696,1319.320,success
55,396.325,364.135,580.520,1341.466,success
56,393.243,371.747,564.387,1329.983,success
57,396.749,379.784,582.274,1359.262,success
58,407.759,350.132,572.289,1330.666,success
59,385.956,374.049,582.765,1343.231,success
60,385.913,367.905,572.629,1326.938,success
61,385.293,363.517,565.328,1314.596,success
62,389.816,373.394,581.991,1345.690,success
63,381.180,350.510,544.062,1276.211,success
64,384.224,369.241,560.128,1314.072,success
65,383.781,361.674,566.951,1312.868,success
66,399.643,340.229,557.178,1297.534,success
67,371.660,347.893,573.288,1293.296,success
68,394.446,380.936,576.775,1352.624,success
69,370.137,353.085,572.798,1296.501,success
70,402.311,379.854,587.591,1370.248,success
71,391.240,368.345,589.823,1349.892,success
72,394.157,346.864,545.283,1286.814,success
73,379.970,358.521,576.271,1315.225,success
74,383.843,370.229,578.882,1333.431,success
75,371.516,373.782,597.727,1343.537,success
76,389.358,377.025,583.193,1350.069,success
77,409.334,380.431,597.586,1387.894,success
78,400.279,364.036,563.517,1328.298,success
79,383.199,372.403,580.292,1336.390,success
80,400.993,379.683,555.240,1336.374,success
81,366.129,357.204,589.129,1312.930,success
82,401.006,380.822,557.599,1339.881,success
83,385.191,365.599,562.840,1314.112,success
84,392.513,366.953,564.593,1324.543,success
85,384.402,362.520,570.647,1318.058,success
86,381.749,354.778,544.384,1281.525,success
87,377.315,349.581,564.014,1291.389,success
88,394.551,358.979,566.412,1320.431,success
89,387.471,373.234,589.187,1350.353,success
90,383.492,367.143,586.415,1337.558,success
91,402.247,385.699,592.799,1381.203,success
92,410.754,359.159,592.998,1363.506,success
93,401.356,368.690,577.303,1347.840,success
94,395.364,374.100,576.231,1346.230,success
95,373.237,350.102,545.734,1269.550,success
96,386.891,365.195,586.518,1339.081,success
97,342.385,323.908,536.548,1203.338,success
98,365.225,347.252,572.728,1285.717,success
99,356.877,328.384,527.145,1212.874,success
100,360.699,338.350,557.018,1256.556,success
