request_id,connection_ms,handshake_ms,resource_read_ms,total_time_ms,status
1,222.966,199.879,255.017,678.325,success
2,222.584,199.262,234.439,656.974,success
3,222.693,199.680,241.743,664.550,success
4,220.726,197.868,232.441,651.611,success
5,222.428,199.142,233.138,655.253,success
6,221.961,198.709,232.735,654.002,success
7,222.919,199.534,232.750,655.928,success
8,221.890,198.457,237.746,658.552,success
9,223.856,199.756,240.409,664.463,success
10,222.207,198.320,235.161,656.295,success
11,222.694,200.086,233.474,656.944,success
12,222.291,198.665,243.527,664.950,success
13,222.621,199.608,234.971,657.703,success
14,222.220,198.315,233.691,654.913,success
15,223.307,209.095,235.614,668.450,success
16,221.824,198.746,232.477,653.738,success
17,221.637,199.382,229.379,651.085,success
18,220.849,198.154,229.587,649.216,success
19,221.100,199.400,230.725,651.968,success
20,221.991,198.233,230.033,650.803,success
21,222.845,199.569,230.942,653.821,success
22,221.842,197.907,229.566,649.939,success
23,221.793,199.425,229.073,651.014,success
24,221.929,198.642,241.488,662.502,success
25,222.567,199.706,241.657,664.711,success
26,221.991,198.649,231.952,653.039,success
27,221.424,199.417,228.669,650.222,success
28,221.829,198.467,235.409,656.296,success
29,221.767,199.594,249.098,671.079,success
30,223.337,198.864,232.366,655.175,success
31,221.162,200.776,229.793,652.204,success
32,223.306,198.136,227.561,649.801,success
33,221.495,199.608,227.061,648.638,success
34,221.233,197.921,230.870,650.654,success
35,221.393,199.521,226.814,648.265,success
36,222.654,198.822,240.469,662.433,success
37,221.404,199.453,230.199,651.687,success
38,222.062,198.053,226.768,647.362,success
39,221.647,210.410,233.069,665.824,success
40,222.112,198.355,228.521,649.426,success
41,220.728,198.849,228.274,648.325,success
42,222.120,198.999,239.042,660.648,success
43,221.520,199.857,230.373,652.405,success
44,221.754,198.055,227.932,648.233,success
45,221.111,199.710,226.319,647.857,success
46,221.393,198.704,226.071,646.817,success
47,222.007,200.147,229.147,651.787,success
48,221.910,198.566,239.281,660.206,success
49,221.787,199.335,228.846,650.648,success
50,222.337,198.229,229.152,650.301,success
51,221.566,199.635,227.870,649.812,success
52,221.443,198.592,226.439,647.116,success
53,221.660,199.842,226.892,649.095,success
54,221.284,198.466,232.115,652.320,success
55,221.127,199.946,225.793,647.326,success
56,220.933,198.718,226.746,646.905,success
57,221.071,199.143,228.578,649.271,success
58,221.934,198.621,228.247,649.461,success
59,220.316,199.744,231.689,652.254,success
60,222.010,198.062,239.805,660.660,success
61,221.432,199.851,228.827,650.649,success
62,222.405,198.540,226.237,647.654,success
63,222.085,209.915,224.946,657.445,success
64,222.136,198.414,231.650,652.682,success
65,221.189,199.512,226.094,647.419,success
66,222.286,197.924,225.490,646.313,success
67,221.370,199.389,227.267,648.460,success
68,220.918,198.073,225.478,644.902,success
69,221.554,199.686,226.926,648.807,success
70,222.317,198.504,229.601,651.075,success
71,221.469,199.484,227.391,648.904,success
72,220.989,197.772,237.392,656.681,success
73,222.203,200.471,227.529,650.728,success
74,221.128,198.411,228.110,648.198,success
75,222.024,198.981,232.146,653.848,success
76,222.199,198.671,235.738,657.265,success
77,221.491,199.696,228.095,649.988,success
78,222.232,198.402,228.161,649.326,success
79,221.152,199.228,226.859,647.907,success
80,221.584,198.446,228.238,649.030,success
81,222.024,200.301,224.914,648.028,success
82,222.064,198.284,225.825,646.650,success
83,221.190,199.780,228.356,649.854,success
84,247.227,198.836,238.086,684.705,success
85,222.609,200.325,226.379,649.746,success
86,221.965,197.837,225.583,645.938,success
87,221.673,209.198,226.326,657.664,success
88,221.768,198.783,226.162,647.393,success
89,220.945,199.270,224.186,645.105,success
90,221.848,198.615,227.100,648.172,success
91,221.742,199.660,225.101,646.943,success
92,221.276,198.192,246.514,666.506,success
93,222.041,201.030,238.661,662.163,success
94,221.894,198.003,228.032,648.530,success
95,223.985,200.254,224.717,649.510,success
96,222.619,198.493,239.816,661.374,success
97,221.877,199.732,253.498,675.770,success
98,221.838,198.358,225.052,646.010,success
99,222.078,200.171,225.655,648.391,success
100,221.579,198.321,223.761,644.122,success
