request_id,connection_ms,handshake_ms,resource_read_ms,total_time_ms,status
1,222.440,199.327,249.953,672.343,success
2,222.315,200.203,224.855,648.011,success
3,222.285,199.347,224.584,646.977,success
4,222.286,198.353,221.682,643.010,success
5,222.243,199.670,220.065,642.454,success
6,221.223,197.819,221.300,640.828,success
7,222.211,199.392,221.034,643.130,success
8,221.434,198.953,217.992,638.990,success
9,222.968,199.441,220.788,643.879,success
10,221.424,198.387,222.792,643.166,success
11,222.318,199.518,219.355,641.677,success
12,221.413,198.741,218.191,638.805,success
13,222.115,200.061,219.162,641.905,success
14,221.848,198.833,217.785,639.053,success
15,221.937,209.417,215.908,647.968,success
16,221.195,197.814,217.925,637.400,success
17,220.716,201.103,216.452,638.883,success
18,221.059,198.343,216.257,636.182,success
19,222.347,202.235,215.671,640.981,success
20,222.176,198.247,216.146,637.022,success
21,220.940,199.340,218.327,639.181,success
22,221.144,198.481,216.465,636.817,success
23,221.411,199.609,216.350,638.134,success
24,221.425,198.575,217.994,638.444,success
25,221.838,199.765,218.499,640.804,success
26,221.397,198.560,221.241,641.680,success
27,222.034,199.026,218.118,639.855,success
28,221.729,199.015,220.377,641.578,success
29,221.204,199.022,214.874,635.574,success
30,221.582,197.883,218.820,638.932,success
31,221.637,200.039,215.685,637.936,success
32,221.972,198.522,214.152,635.098,success
33,221.182,200.386,214.326,636.372,success
34,221.618,197.673,214.216,634.253,success
35,221.298,199.365,213.733,635.101,success
36,221.234,198.319,213.574,633.618,success
37,220.885,199.906,215.855,637.399,success
38,221.421,198.325,215.243,635.445,success
39,221.052,209.623,216.924,648.096,success
40,222.106,198.538,215.588,636.884,success
41,221.027,199.259,215.057,635.803,success
42,221.937,198.474,217.608,638.589,success
43,221.224,199.434,215.264,636.404,success
44,221.096,198.027,219.150,638.922,success
45,221.721,200.724,215.529,638.500,success
46,221.724,198.430,216.656,637.357,success
47,221.540,199.228,214.685,636.201,success
48,221.724,198.196,216.068,636.435,success
49,221.076,198.936,212.786,633.599,success
50,221.388,197.956,212.749,632.628,success
51,221.291,199.175,212.151,633.097,success
52,221.525,198.549,212.277,632.978,success
53,222.883,200.861,213.375,637.895,success
54,221.408,197.914,213.189,633.182,success
55,221.273,199.227,211.614,632.905,success
56,221.436,198.726,211.756,632.418,success
57,222.063,199.637,212.900,635.118,success
58,220.973,198.478,212.337,632.365,success
59,220.562,199.443,212.430,632.884,success
60,222.011,198.068,213.128,633.809,success
61,222.539,200.428,216.400,639.960,success
62,222.032,198.151,215.398,636.137,success
63,222.091,209.294,213.170,645.105,success
64,221.533,198.518,214.565,635.107,success
65,220.969,199.304,214.252,635.021,success
66,221.144,198.294,212.301,632.262,success
67,220.950,199.610,213.920,635.094,success
68,221.035,197.859,211.820,631.177,success
69,221.857,199.385,211.540,633.563,success
70,221.599,198.243,212.907,633.203,success
71,223.374,201.247,211.652,636.902,success
72,221.331,198.218,211.641,631.735,success
73,221.548,199.631,212.396,634.254,success
74,222.041,198.462,212.773,633.746,success
75,221.144,199.917,212.644,634.159,success
76,221.513,198.179,211.947,632.321,success
77,221.252,199.619,213.910,635.255,success
78,221.708,197.918,219.433,639.744,success
79,221.343,202.344,213.643,637.847,success
80,222.735,198.299,213.442,634.958,success
81,221.804,199.457,213.187,635.247,success
82,221.944,198.945,212.099,633.451,success
83,221.667,200.145,211.567,633.994,success
84,221.224,198.421,211.414,631.812,success
85,221.163,199.797,212.464,633.889,success
86,222.146,198.920,211.725,633.406,success
87,222.942,221.955,212.100,657.507,success
88,222.319,198.237,211.387,632.597,success
89,221.289,199.687,212.535,634.133,success
90,221.155,198.780,213.855,634.575,success
91,221.911,200.227,214.022,636.678,success
92,221.153,198.504,214.809,634.938,success
93,221.487,199.445,214.449,635.868,success
94,222.014,198.617,212.365,633.487,success
95,220.801,199.756,217.893,638.895,success
96,222.104,198.632,219.549,640.855,success
97,221.554,199.338,214.940,636.295,success
98,222.116,198.394,213.093,634.064,success
99,221.205,200.284,211.214,633.186,success
100,221.785,198.723,211.362,632.336,success
