request_id,connection_ms,handshake_ms,tool_call_ms,total_time_ms,status
1,403.158,372.884,576.895,1353.415,success
2,407.008,379.051,531.578,1318.132,success
3,368.776,352.788,555.066,1277.091,success
4,391.603,365.196,556.417,1313.675,success
5,396.712,381.261,565.291,1343.779,success
6,373.821,347.225,540.196,1261.732,success
7,381.764,361.061,557.238,1300.525,success
8,396.895,380.577,577.020,1354.947,success
9,398.367,383.834,540.345,1323.014,success
10,374.720,348.626,545.193,1269.070,success
11,380.754,363.186,554.898,1299.294,success
12,398.693,369.183,557.981,1326.398,success
13,406.377,384.945,544.852,1336.630,success
14,386.166,366.428,561.177,1314.256,success
15,392.745,363.635,572.095,1328.957,success
16,393.145,374.837,565.126,1333.675,success
17,378.689,357.832,575.168,1312.160,success
18,398.778,376.390,564.520,1340.169,success
19,388.381,363.616,565.170,1317.639,success
20,389.658,324.908,505.450,1220.558,success
21,362.784,333.566,502.847,1199.658,success
22,364.213,338.201,526.577,1229.449,success
23,364.782,345.688,537.053,1247.976,success
24,370.318,350.539,548.649,1269.974,success
25,375.540,363.975,550.298,1290.274,success
26,375.569,360.579,548.782,1285.421,success
27,398.586,376.544,541.577,1317.166,success
28,365.221,349.578,524.174,1239.448,success
29,377.000,357.944,554.886,1290.299,success
30,395.026,365.080,558.529,1319.118,success
31,390.437,365.585,567.354,1323.858,success
32,387.437,348.555,548.069,1284.568,success
33,389.350,365.427,566.806,1322.035,success
34,408.586,371.623,536.122,1316.820,success
35,379.703,361.349,561.293,1302.814,success
36,393.440,371.181,570.672,1335.876,success
37,404.566,376.629,585.576,1367.277,success
38,350.824,345.764,528.524,1225.655,success
39,377.409,351.367,535.976,1265.233,success
40,386.988,361.092,565.849,1314.433,success
41,386.500,358.163,564.556,1309.678,success
42,391.472,379.802,567.775,1339.528,success
43,401.785,317.277,510.454,1229.987,success
44,357.563,341.058,543.927,1243.030,success
45,372.576,352.824,536.374,1262.263,success
46,375.079,353.591,547.853,1277.016,success
47,393.663,364.767,536.734,1295.689,success
48,382.477,365.063,550.217,1298.285,success
49,385.428,368.964,573.459,1328.388,success
50,373.678,336.268,524.242,1234.666,success
51,359.782,348.793,531.884,1241.004,success
52,371.792,351.574,535.534,1259.370,success
53,379.279,356.564,554.324,1290.675,success
54,393.368,365.038,568.848,1327.743,success
55,357.336,344.037,537.399,1239.264,success
56,382.202,358.436,541.060,1282.197,success
57,380.453,371.724,561.318,1314.039,success
58,397.254,365.175,570.860,1333.760,success
59,400.034,375.792,561.398,1337.703,success
60,394.430,369.090,571.547,1335.538,success
61,391.382,375.124,570.029,1337.033,success
62,401.293,375.738,582.768,1360.266,success
63,386.951,366.073,558.153,1311.655,success
64,389.108,368.276,569.723,1327.582,success
65,388.906,376.362,573.532,1339.271,success
66,401.779,379.891,562.224,1344.389,success
67,394.986,377.366,578.601,1351.423,success
68,375.443,357.375,551.914,1285.218,success
69,381.769,364.723,558.623,1305.584,success
70,387.524,380.372,518.660,1287.116,success
71,360.502,344.802,542.899,1248.674,success
72,380.455,348.501,524.610,1254.056,success
73,375.654,355.846,537.177,1269.161,success
74,386.364,363.877,564.890,1315.680,success
75,394.544,369.537,556.287,1320.862,success
76,392.029,374.367,569.593,1336.453,success
77,397.076,379.409,536.355,1313.336,success
78,384.036,361.468,563.717,1309.731,success
79,405.437,343.635,535.592,1285.151,success
80,380.718,362.414,575.040,1318.651,success
81,405.813,359.902,517.275,1283.467,success
82,369.315,346.101,542.000,1257.928,success
83,379.134,350.765,533.377,1263.736,success
84,375.550,348.364,551.117,1275.519,success
85,375.624,358.116,538.494,1272.700,success
86,373.288,356.991,540.419,1271.235,success
87,373.749,356.318,563.434,1293.985,success
88,390.984,353.882,543.178,1288.506,success
89,381.205,352.804,561.358,1295.818,success
90,400.543,382.560,572.180,1355.778,success
91,389.010,376.077,575.302,1340.865,success
92,369.913,354.502,537.369,1262.276,success
93,378.305,357.185,559.853,1295.796,success
94,395.873,375.092,577.509,1349.005,success
95,380.705,333.290,518.552,1233.028,success
96,368.611,339.553,529.571,1238.205,success
97,379.285,356.543,530.256,1266.554,success
98,371.805,349.712,520.477,1242.485,success
99,360.165,339.515,519.462,1219.595,success
100,370.947,353.854,538.016,1263.279,success
