request_id,connection_ms,handshake_ms,resource_read_ms,total_time_ms,status
1,223.010,199.565,251.840,675.147,success
2,222.363,198.641,226.907,648.406,success
3,223.933,199.831,221.898,646.135,success
4,221.510,198.591,220.775,641.310,success
5,223.669,199.347,219.547,643.029,success
6,220.812,198.034,225.918,645.498,success
7,222.260,199.954,222.143,645.105,success
8,221.454,198.212,220.952,641.221,success
9,222.350,199.250,220.993,643.177,success
10,221.889,197.588,219.349,639.266,success
11,222.497,199.501,218.072,640.760,success
12,221.372,199.191,218.954,640.117,success
13,222.734,199.757,218.098,641.147,success
14,221.265,198.280,218.502,638.778,success
15,222.348,210.253,216.952,650.133,success
16,221.254,197.937,220.736,640.499,success
17,221.423,200.339,217.503,639.799,success
18,222.550,198.760,220.094,641.967,success
19,221.093,199.427,220.045,641.109,success
20,221.722,197.741,217.730,637.886,success
21,221.105,199.682,217.788,639.170,success
22,221.242,197.537,214.923,634.178,success
23,220.502,199.587,219.969,640.544,success
24,222.807,198.978,218.625,641.033,success
25,221.154,200.515,215.415,637.849,success
26,221.191,197.848,215.184,635.008,success
27,222.188,199.517,217.819,639.978,success
28,221.718,197.605,215.135,635.206,success
29,221.301,200.728,217.787,640.408,success
30,221.091,198.239,215.817,635.712,success
31,220.894,198.799,214.637,634.788,success
32,221.909,198.768,224.612,645.788,success
33,222.018,200.252,216.754,639.525,success
34,221.623,197.638,223.568,643.366,success
35,220.915,199.106,218.845,639.557,success
36,221.403,198.286,217.466,637.719,success
37,221.720,199.931,215.251,637.504,success
38,221.086,198.004,213.142,632.929,success
39,221.251,210.700,213.586,646.034,success
40,221.613,198.173,223.400,643.780,success
41,220.721,198.909,217.729,637.959,success
42,221.229,198.275,213.017,632.990,success
43,220.725,199.273,214.736,635.469,success
44,221.173,197.514,212.118,631.434,success
45,221.536,199.604,214.822,636.705,success
46,221.085,198.564,212.625,632.745,success
47,220.976,198.785,215.686,635.963,success
48,221.065,197.876,215.432,634.942,success
49,222.161,199.770,214.487,637.015,success
50,221.843,198.400,221.558,642.249,success
51,221.059,199.704,214.198,635.527,success
52,221.377,198.678,216.661,637.380,success
53,221.814,199.472,215.162,637.081,success
54,221.228,197.785,212.820,632.275,success
55,220.608,199.290,214.268,634.702,success
56,221.906,198.255,213.375,633.991,success
57,221.450,199.931,216.551,638.498,success
58,221.622,197.737,220.838,640.755,success
59,220.960,200.362,215.627,637.409,success
60,227.275,198.080,216.896,642.709,success
61,221.614,200.206,216.030,638.615,success
62,222.031,197.714,216.696,637.125,success
63,222.113,211.293,220.281,654.256,success
64,222.052,198.447,214.529,635.781,success
65,221.037,199.629,214.353,635.461,success
66,221.612,199.224,215.853,637.148,success
67,220.888,199.185,215.259,635.885,success
68,221.753,198.274,214.913,635.662,success
69,220.897,200.109,215.309,637.052,success
70,221.359,197.801,213.132,632.901,success
71,221.887,200.959,211.337,634.992,success
72,222.223,197.881,211.465,632.030,success
73,221.294,199.452,213.601,635.084,success
74,221.921,197.814,213.876,634.264,success
75,221.791,202.053,223.060,647.423,success
76,226.324,198.959,216.522,642.569,success
77,221.525,199.438,215.754,637.306,success
78,221.147,198.154,214.292,634.154,success
79,221.406,199.936,214.624,636.431,success
80,222.302,198.342,214.639,635.749,success
81,221.814,199.937,214.456,636.838,success
82,222.084,197.918,217.112,637.908,success
83,220.267,199.296,228.961,649.237,success
84,221.475,198.567,213.338,634.130,success
85,221.122,200.039,213.828,635.593,success
86,221.801,197.690,211.904,631.902,success
87,221.950,210.333,212.240,645.010,success
88,221.885,198.715,212.463,633.814,success
89,220.770,199.390,212.764,633.408,success
90,221.027,197.759,212.550,631.937,success
91,221.184,199.179,212.654,633.723,success
92,220.736,198.211,214.185,633.585,success
93,220.754,199.647,217.365,638.464,success
94,221.094,197.643,211.984,631.325,success
95,222.106,201.029,214.602,638.188,success
96,221.611,198.506,214.215,635.078,success
97,221.582,200.942,213.251,636.356,success
98,221.228,197.733,211.164,630.682,success
99,220.814,200.006,211.239,632.512,success
100,221.100,198.226,210.829,630.808,success
