request_id,dns_lookup_ms,tcp_connect_ms,tls_handshake_ms,time_pretransfer_ms,time_to_first_byte_ms,total_time_ms,http_code
1,0.014,124.398,0.000,124.450,275.123,275.164,200
2,0.014,130.572,0.000,130.619,281.752,281.805,200
3,0.030,134.620,0.000,134.675,283.797,283.842,200
4,0.016,132.550,0.000,132.612,283.034,283.068,200
5,0.016,133.510,0.000,133.570,278.525,278.578,200
6,0.014,129.794,0.000,129.834,276.809,276.851,200
7,0.015,128.382,0.000,128.434,278.239,278.307,200
8,0.014,135.949,0.000,136.005,296.595,296.641,200
9,0.014,139.864,0.000,139.921,295.701,295.743,200
10,0.015,138.101,0.000,138.161,289.291,289.336,200
11,0.015,139.253,0.000,139.309,302.008,302.079,200
12,0.014,138.734,0.000,138.789,291.741,291.786,200
13,0.017,133.793,0.000,133.831,281.764,281.811,200
14,0.015,139.627,0.000,139.677,299.356,299.398,200
15,0.033,144.909,0.000,144.970,301.537,301.581,200
16,0.014,146.739,0.000,146.791,311.034,311.082,200
17,0.014,150.191,0.000,150.242,313.931,313.976,200
18,0.016,144.289,0.000,144.340,307.115,307.150,200
19,0.016,144.987,0.000,145.045,303.940,303.988,200
20,0.014,153.404,0.000,153.464,334.658,334.702,200
21,0.016,138.186,0.000,138.241,292.948,292.992,200
22,0.015,137.704,0.000,137.762,287.557,287.601,200
23,0.015,134.267,0.000,134.321,282.435,282.485,200
24,0.015,131.332,0.000,131.387,275.556,275.601,200
25,0.014,136.850,0.000,136.904,287.579,287.633,200
26,0.014,132.188,0.000,132.246,278.941,279.003,200
27,0.014,135.701,0.000,135.760,294.316,294.363,200
28,0.013,131.374,0.000,131.437,279.703,279.753,200
29,0.015,128.457,0.000,128.497,274.866,274.901,200
30,0.017,129.127,0.000,129.184,271.163,271.207,200
31,0.014,128.655,0.000,128.709,271.152,271.196,200
32,0.014,128.394,0.000,128.454,270.853,270.899,200
33,0.014,129.374,0.000,129.413,277.106,277.150,200
34,0.016,127.753,0.000,127.815,289.046,289.092,200
35,0.015,129.219,0.000,129.270,271.631,271.665,200
36,0.014,126.631,0.000,126.681,262.508,262.551,200
37,0.015,127.026,0.000,127.077,272.085,272.118,200
38,0.015,125.537,0.000,125.587,270.289,270.339,200
39,0.016,123.581,0.000,123.641,261.356,261.391,200
40,0.015,125.184,0.000,125.238,264.375,264.420,200
41,0.014,122.859,0.000,122.913,268.573,268.617,200
42,0.014,121.735,0.000,121.785,257.995,258.041,200
43,0.016,118.864,0.000,118.922,250.357,250.426,200
44,0.014,115.815,0.000,115.855,245.417,245.464,200
45,0.015,118.150,0.000,118.206,248.612,248.657,200
