request_id,dns_lookup_ms,tcp_connect_ms,tls_handshake_ms,time_pretransfer_ms,time_to_first_byte_ms,total_time_ms,http_code
1,0.016,97.705,0.000,97.755,228.020,228.062,200
2,0.016,98.065,0.000,98.110,213.599,213.643,200
3,0.016,98.024,0.000,98.069,214.935,214.980,200
4,0.019,97.645,0.000,97.699,213.325,213.380,200
5,0.016,97.925,0.000,97.969,212.511,212.554,200
6,0.016,97.643,0.000,97.695,213.247,213.276,200
7,0.016,97.825,0.000,97.859,214.843,214.872,200
8,0.016,97.760,0.000,97.817,211.721,211.765,200
9,0.016,97.679,0.000,97.768,215.077,215.121,200
10,0.016,97.669,0.000,97.720,214.812,214.857,200
11,0.016,97.625,0.000,97.676,212.712,212.746,200
12,0.016,97.909,0.000,97.962,214.728,214.771,200
13,0.016,97.644,0.000,97.695,216.691,216.719,200
14,0.016,97.884,0.000,97.958,214.836,214.887,200
15,0.016,97.874,0.000,97.910,214.002,214.046,200
16,0.020,97.868,0.000,97.904,214.454,214.502,200
17,0.016,98.009,0.000,98.062,220.478,220.525,200
18,0.017,97.955,0.000,98.014,212.113,212.160,200
19,0.016,97.955,0.000,98.007,210.681,210.726,200
20,0.016,97.927,0.000,97.979,212.299,212.342,200
21,0.019,98.025,0.000,98.067,210.532,210.601,200
22,0.021,97.736,0.000,97.795,211.373,211.422,200
23,0.018,97.939,0.000,97.998,211.642,211.690,200
24,0.016,97.936,0.000,97.991,213.388,213.433,200
25,0.016,97.683,0.000,97.736,210.608,210.645,200
26,0.016,97.597,0.000,97.651,211.005,211.064,200
27,0.015,97.941,0.000,97.994,210.015,210.060,200
28,0.017,97.692,0.000,97.740,211.259,211.314,200
29,0.015,97.517,0.000,97.604,209.287,209.332,200
30,0.016,97.844,0.000,97.918,211.676,211.705,200
31,0.016,97.876,0.000,97.924,210.093,210.127,200
32,0.018,97.954,0.000,98.016,231.217,231.267,200
33,0.016,97.928,0.000,97.986,213.522,213.570,200
34,0.018,97.610,0.000,97.669,218.907,218.955,200
35,0.016,97.874,0.000,97.932,211.027,211.057,200
36,0.017,97.916,0.000,97.981,212.415,212.461,200
37,0.016,97.981,0.000,98.033,211.097,211.143,200
38,0.015,97.674,0.000,97.725,208.464,208.508,200
39,0.016,97.570,0.000,97.623,208.865,208.908,200
40,0.017,97.638,0.000,97.688,207.620,207.672,200
41,0.017,97.623,0.000,97.673,209.186,209.236,200
42,0.016,98.665,0.000,98.749,208.946,209.000,200
43,0.018,97.674,0.000,97.738,207.199,207.229,200
44,0.020,97.649,0.000,97.698,211.224,211.280,200
45,0.016,97.904,0.000,97.939,213.733,213.780,200
46,0.016,97.705,0.000,97.770,217.842,217.896,200
47,0.016,97.966,0.000,98.020,209.435,209.465,200
48,0.015,97.717,0.000,97.769,209.416,209.450,200
49,0.016,97.863,0.000,97.914,212.020,212.053,200
50,0.016,97.621,0.000,97.672,209.037,209.089,200
51,0.016,97.907,0.000,97.960,209.020,209.069,200
52,0.016,97.670,0.000,97.710,209.329,209.377,200
53,0.017,97.912,0.000,97.965,209.582,209.620,200
54,0.015,97.588,0.000,97.655,210.894,210.992,200
55,0.016,97.702,0.000,97.758,213.799,213.844,200
56,0.019,97.981,0.000,98.032,213.641,213.752,200
57,0.015,97.629,0.000,97.682,211.932,211.977,200
58,0.016,97.680,0.000,97.728,216.248,216.295,200
59,0.016,97.689,0.000,97.753,210.188,210.223,200
60,0.016,97.926,0.000,97.978,209.738,209.782,200
61,0.016,98.008,0.000,98.060,207.282,207.332,200
62,0.016,97.837,0.000,97.888,208.702,208.728,200
63,0.017,97.713,0.000,97.807,210.108,210.149,200
64,0.018,97.899,0.000,97.950,209.350,209.397,200
65,0.016,98.004,0.000,98.057,207.443,207.494,200
66,0.016,97.899,0.000,97.951,207.783,207.827,200
67,0.020,97.675,0.000,97.745,207.229,207.277,200
68,0.015,97.634,0.000,97.685,206.228,206.260,200
69,0.016,97.643,0.000,97.695,206.724,206.757,200
70,0.016,97.986,0.000,98.041,212.228,212.276,200
71,0.020,97.698,0.000,97.759,210.975,211.026,200
72,0.016,97.959,0.000,98.018,207.287,207.334,200
73,0.016,97.875,0.000,97.921,207.998,208.034,200
74,0.017,97.901,0.000,97.954,212.689,212.736,200
75,0.018,97.928,0.000,97.975,213.896,213.926,200
76,0.016,97.986,0.000,98.016,208.994,209.027,200
77,0.015,97.913,0.000,97.961,213.247,213.291,200
78,0.016,97.700,0.000,97.757,207.401,207.430,200
79,0.015,97.695,0.000,97.743,207.194,207.224,200
80,0.017,97.766,0.000,97.824,206.519,206.645,200
81,0.015,97.617,0.000,97.671,206.856,206.899,200
82,0.016,97.951,0.000,98.001,207.045,207.079,200
83,0.017,97.620,0.000,97.670,206.914,206.945,200
84,0.016,97.678,0.000,97.753,211.317,211.363,200
85,0.020,97.885,0.000,97.944,209.189,209.229,200
86,0.016,97.935,0.000,97.987,209.451,209.497,200
87,0.016,97.960,0.000,97.990,208.165,208.199,200
88,0.018,97.632,0.000,97.687,207.241,207.374,200
89,0.016,97.947,0.000,98.001,208.456,208.489,200
90,0.017,97.985,0.000,98.032,206.885,206.930,200
91,0.016,97.873,0.000,97.918,206.735,206.779,200
92,0.016,97.910,0.000,97.956,207.727,207.756,200
93,0.015,97.568,0.000,97.620,207.335,207.383,200
94,0.017,97.920,0.000,97.970,206.483,206.516,200
95,0.016,98.137,0.000,98.172,206.722,206.773,200
96,0.018,97.585,0.000,97.634,212.021,212.067,200
97,0.017,97.603,0.000,97.650,217.658,217.687,200
98,0.017,97.936,0.000,97.989,208.765,208.815,200
99,0.017,98.085,0.000,98.138,207.588,207.666,200
100,0.015,97.574,0.000,97.625,207.446,207.491,200
