request_id,connection_ms,handshake_ms,tool_call_ms,total_time_ms,status
1,0.000,0.000,0.000,120.975,error: unhandled errors in a TaskGroup (1 sub-exception)
2,0.000,0.000,0.000,120.402,error: unhandled errors in a TaskGroup (1 sub-exception)
3,0.000,0.000,0.000,120.657,error: unhandled errors in a TaskGroup (1 sub-exception)
4,0.000,0.000,0.000,122.416,error: unhandled errors in a TaskGroup (1 sub-exception)
5,0.000,0.000,0.000,122.195,error: unhandled errors in a TaskGroup (1 sub-exception)
6,0.000,0.000,0.000,120.372,error: unhandled errors in a TaskGroup (1 sub-exception)
7,0.000,0.000,0.000,120.427,error: unhandled errors in a TaskGroup (1 sub-exception)
8,0.000,0.000,0.000,122.504,error: unhandled errors in a TaskGroup (1 sub-exception)
9,0.000,0.000,0.000,120.287,error: unhandled errors in a TaskGroup (1 sub-exception)
10,0.000,0.000,0.000,120.203,error: unhandled errors in a TaskGroup (1 sub-exception)
11,0.000,0.000,0.000,119.931,error: unhandled errors in a TaskGroup (1 sub-exception)
12,0.000,0.000,0.000,122.273,error: unhandled errors in a TaskGroup (1 sub-exception)
13,0.000,0.000,0.000,120.056,error: unhandled errors in a TaskGroup (1 sub-exception)
14,0.000,0.000,0.000,120.521,error: unhandled errors in a TaskGroup (1 sub-exception)
15,0.000,0.000,0.000,120.243,error: unhandled errors in a TaskGroup (1 sub-exception)
16,0.000,0.000,0.000,120.367,error: unhandled errors in a TaskGroup (1 sub-exception)
17,0.000,0.000,0.000,120.042,error: unhandled errors in a TaskGroup (1 sub-exception)
18,0.000,0.000,0.000,120.452,error: unhandled errors in a TaskGroup (1 sub-exception)
19,0.000,0.000,0.000,120.268,error: unhandled errors in a TaskGroup (1 sub-exception)
20,0.000,0.000,0.000,122.115,error: unhandled errors in a TaskGroup (1 sub-exception)
21,0.000,0.000,0.000,119.834,error: unhandled errors in a TaskGroup (1 sub-exception)
22,0.000,0.000,0.000,119.906,error: unhandled errors in a TaskGroup (1 sub-exception)
23,0.000,0.000,0.000,120.409,error: unhandled errors in a TaskGroup (1 sub-exception)
24,0.000,0.000,0.000,121.855,error: unhandled errors in a TaskGroup (1 sub-exception)
25,0.000,0.000,0.000,120.383,error: unhandled errors in a TaskGroup (1 sub-exception)
26,0.000,0.000,0.000,120.490,error: unhandled errors in a TaskGroup (1 sub-exception)
27,0.000,0.000,0.000,120.339,error: unhandled errors in a TaskGroup (1 sub-exception)
28,0.000,0.000,0.000,122.373,error: unhandled errors in a TaskGroup (1 sub-exception)
29,0.000,0.000,0.000,120.308,error: unhandled errors in a TaskGroup (1 sub-exception)
30,0.000,0.000,0.000,120.536,error: unhandled errors in a TaskGroup (1 sub-exception)
31,0.000,0.000,0.000,120.266,error: unhandled errors in a TaskGroup (1 sub-exception)
32,0.000,0.000,0.000,122.707,error: unhandled errors in a TaskGroup (1 sub-exception)
33,0.000,0.000,0.000,120.123,error: unhandled errors in a TaskGroup (1 sub-exception)
34,0.000,0.000,0.000,120.358,error: unhandled errors in a TaskGroup (1 sub-exception)
35,0.000,0.000,0.000,120.337,error: unhandled errors in a TaskGroup (1 sub-exception)
36,0.000,0.000,0.000,120.525,error: unhandled errors in a TaskGroup (1 sub-exception)
37,0.000,0.000,0.000,120.314,error: unhandled errors in a TaskGroup (1 sub-exception)
38,0.000,0.000,0.000,120.065,error: unhandled errors in a TaskGroup (1 sub-exception)
39,0.000,0.000,0.000,119.952,error: unhandled errors in a TaskGroup (1 sub-exception)
40,0.000,0.000,0.000,123.131,error: unhandled errors in a TaskGroup (1 sub-exception)
41,0.000,0.000,0.000,120.128,error: unhandled errors in a TaskGroup (1 sub-exception)
42,0.000,0.000,0.000,120.358,error: unhandled errors in a TaskGroup (1 sub-exception)
43,0.000,0.000,0.000,120.246,error: unhandled errors in a TaskGroup (1 sub-exception)
44,0.000,0.000,0.000,124.402,error: unhandled errors in a TaskGroup (1 sub-exception)
45,0.000,0.000,0.000,124.361,error: unhandled errors in a TaskGroup (1 sub-exception)
46,0.000,0.000,0.000,142.080,error: unhandled errors in a TaskGroup (1 sub-exception)
47,0.000,0.000,0.000,120.638,error: unhandled errors in a TaskGroup (1 sub-exception)
48,0.000,0.000,0.000,122.821,error: unhandled errors in a TaskGroup (1 sub-exception)
49,0.000,0.000,0.000,120.028,error: unhandled errors in a TaskGroup (1 sub-exception)
50,0.000,0.000,0.000,120.679,error: unhandled errors in a TaskGroup (1 sub-exception)
51,0.000,0.000,0.000,119.964,error: unhandled errors in a TaskGroup (1 sub-exception)
52,0.000,0.000,0.000,121.682,error: unhandled errors in a TaskGroup (1 sub-exception)
53,0.000,0.000,0.000,120.480,error: unhandled errors in a TaskGroup (1 sub-exception)
54,0.000,0.000,0.000,120.222,error: unhandled errors in a TaskGroup (1 sub-exception)
55,0.000,0.000,0.000,120.409,error: unhandled errors in a TaskGroup (1 sub-exception)
56,0.000,0.000,0.000,121.654,error: unhandled errors in a TaskGroup (1 sub-exception)
57,0.000,0.000,0.000,120.378,error: unhandled errors in a TaskGroup (1 sub-exception)
58,0.000,0.000,0.000,120.623,error: unhandled errors in a TaskGroup (1 sub-exception)
59,0.000,0.000,0.000,120.425,error: unhandled errors in a TaskGroup (1 sub-exception)
60,0.000,0.000,0.000,120.876,error: unhandled errors in a TaskGroup (1 sub-exception)
61,0.000,0.000,0.000,120.443,error: unhandled errors in a TaskGroup (1 sub-exception)
62,0.000,0.000,0.000,120.074,error: unhandled errors in a TaskGroup (1 sub-exception)
63,0.000,0.000,0.000,120.169,error: unhandled errors in a TaskGroup (1 sub-exception)
64,0.000,0.000,0.000,122.838,error: unhandled errors in a TaskGroup (1 sub-exception)
